name,gender,count
abhidan,male,2
abhigya,female,2
abhigya,male,2
abhijan,male,2
abhijaya,male,2
abhijeet,male,5
abhijet,male,2
abhijit,male,5
abhik,male,1
abhilash,male,4
abhilasha,female,4
abhilasha,male,1
abhilekh,male,2
abhilesh,male,5
abhiman,male,1
abhimannu,male,1
abhimannyu,male,1
abhimanu,male,2
abhimanyu,male,10
abhimat,male,2
abhinab,male,3
abhinam,male,2
abhinandan,male,2
abhinash,male,4
abhinashi,male,1
abhinav,male,15
abhinaw,male,2
abhinay,male,5
abhinaya,male,3
abhinesh,male,3
abhinit,male,2
abhirath,male,2
abhiru,male,2
abhisek,male,15
abhisekh,male,8
abhish,male,2
abhishek,male,154
abhishekanand,male,1
abhishekh,male,4
abhishes,male,3
abhishesh,male,3
abhishree,female,2
abhishrii,male,2
abhishwor,male,2
abhiskar,male,1
abhiyan,male,8
abhiyush,male,2
abhushan,male,3
abhya,male,1
abi,male,1
abichar,male,1
abid,male,2
abidh,male,3
abidit,male,2
abijit,male,3
abilash,male,2
abiman,male,1
abin,male,16
abinab,male,1
abinash,male,48
abinashi,male,1
abinath,male,1
abindra,male,1
abinish,male,3
abiral,male,13
abirbhav,male,1
abisek,male,2
abisekh,male,1
abish,male,7
abisha,female,2
abishec,male,2
abishek,male,35
abishesh,male,4
abishkar,male,6
abiskar,male,3
abit,male,2
ablok,male,2
abnish,male,4
abodh,male,2
abraham,male,3
abriti,female,2
absar,male,2
ac,female,1
acchyut,male,3
achal,male,1
achalshail,male,2
achana,female,1
acharya,male,1
achhami,female,1
achiyut,male,2
achut,male,3
achutam,male,2
achyot,male,1
achyut,male,22
achyuta,male,1
achyutam,male,3
active,male,2
adarsh,male,9
adarsha,male,18
adeeti,female,2
adesh,male,6
adhar,male,2
adheesh,male,1
adhikar,male,1
adhikari,male,1
adhip,male,3
adhiraj,male,1
adhish,male,4
adhista,female,2
adida,male,3
adipti,female,1
adish,male,2
adist,male,1
adit,male,5
aditi,female,5
aditi,male,1
adity,female,2
aditya,male,46
adwait,male,6
adwitiya,male,2
aelish,male,3
aeron,male,2
afjal,male,2
afreen,female,6
afroj,male,4
aftab,male,2
afzal,male,3
agaman,male,2
agastya,male,2
agni,male,3
agnidhar,male,3
agrahari,male,1
agraj,male,2
agreem,male,2
agrim,male,3
agya,female,1
ahamad,male,3
ahmed,male,2
ahsit,male,2
ai,male,1
ain,male,3
aisha,female,1
aisha,male,1
aishorya,male,1
aishwarya,female,6
aishworya,female,3
aising,male,2
ajad,male,2
ajaj,male,2
ajanta,female,2
ajar,male,3
ajay,male,110
ajaya,male,16
ajeeb,male,2
ajeena,female,1
ajeet,male,8
ajeev,male,1
ajendra,male,1
ajesh,male,4
ajeya,male,3
ajib,male,1
ajijul,male,4
ajina,female,2
ajindra,male,2
ajit,male,38
ajita,female,4
ajita,male,1
ajitesh,male,4
ajmat,male,1
ajoy,male,1
ajul,male,2
ajya,male,2
akal,male,1
akalesh,male,2
akanksha,female,3
akankshya,female,1
akansha,female,3
akarshan,male,1
akash,male,55
akashdip,male,1
akbal,male,3
akendra,male,1
akesh,male,2
akhalesh,male,3
akhanda,male,1
akhatar,male,4
akhil,male,2
akhilesh,male,10
akhileshwar,male,2
akhlaque,male,1
akikaran,male,1
akil,male,1
akkal,male,1
aklesh,male,2
akramul,male,2
akreeti,female,4
akrish,male,1
akrit,male,2
akritee,female,3
akriti,female,1
akrity,female,1
akshar,male,1
akshata,female,1
akshay,male,5
akshaya,male,2
akshya,male,5
akshyata,female,2
akshyeta,female,1
alam,male,4
alan,male,2
alankar,male,2
alash,male,2
albij,male,2
albin,male,1
albira,female,2
aleana,female,1
aleena,female,2
alek,male,1
alekh,male,2
alen,male,4
alena,female,1
alence,male,2
alex,male,4
alexi,male,2
alfa,female,1
alfaz,male,3
ali,male,1
alice,female,1
alice,male,2
alija,female,2
alija,male,1
alima,female,2
alina,female,34
alina,male,1
alis,male,2
alisa,female,3
alish,female,1
alish,male,19
alisha,female,48
alisha,male,1
alishma,female,1
alishma,male,1
alita,female,2
aliz,male,2
aliza,female,7
aliza,male,1
aljan,male,2
aljina,female,1
aljina,male,1
alka,female,6
alkaraj,male,3
alkesh,male,4
allan,male,2
allon,male,1
almin,male,2
aloj,male,2
alok,male,17
aloke,male,1
alora,male,2
alpana,female,1
alpha,female,3
alson,male,3
altaf,male,1
alvira,female,2
alwin,male,1
amal,male,1
amalendu,male,1
aman,male,71
amanul,male,1
amar,male,38
amardeep,male,6
amardip,male,1
amarendra,male,1
amaresh,male,1
amarjeet,male,2
amarnath,male,1
amatya,male,1
ambar,male,2
ambaris,male,1
amber,male,1
ambesh,male,2
ambika,female,18
ambika,male,2
ambikesh,male,2
ambish,male,1
ambrish,male,1
ameer,male,2
ameresh,male,1
amien,male,2
amik,male,3
amin,male,3
amina,female,5
amina,male,1
amindra,male,1
amir,male,33
amira,female,2
amiri,male,2
amirinarayan,male,1
amish,male,2
amisha,female,3
amishan,male,3
amit,male,189
amita,female,7
amita,male,1
amitab,male,1
amitabh,male,2
amitananda,male,1
amlesh,male,2
amnish,male,2
amod,male,11
amoda,male,1
amogh,male,1
amogha,male,1
amol,male,3
amool,male,3
amosh,male,2
amrambha,male,1
amrendra,male,17
amresh,male,7
amrish,male,1
amrit,male,157
amrita,female,18
amrita,male,2
amshu,female,4
amtesh,male,3
amuda,female,1
amul,male,8
amulya,male,5
amun,male,3
anami,female,2
anamika,female,7
anamika,male,1
anamol,male,5
anand,male,17
ananda,male,24
ananga,male,2
anankit,male,2
anant,female,1
anant,male,5
ananta,female,4
ananta,male,19
anarullah,male,2
anav,male,2
anbi,male,2
anchal,female,1
anchal,male,2
andolan,male,2
andrew,male,1
andy,male,2
aneesh,male,2
aneet,male,2
anendra,male,1
anesh,male,3
aney,female,4
ang,female,2
ang,male,3
anga,male,2
angad,male,2
angal,male,2
angana,female,2
angash,male,2
angeela,female,2
angel,female,8
angel,male,6
angela,female,7
angela,male,1
angila,female,1
angira,female,1
angisha,female,3
angishor,male,1
angkit,male,3
angnima,male,2
angshu,female,2
angur,male,1
anib,male,2
anie,female,2
anij,male,1
anika,female,1
aniket,male,3
anikit,male,2
anil,male,252
anila,female,3
anima,female,6
anima,male,1
animesh,male,11
anin,male,2
anindya,male,1
anir,male,1
anirodh,male,2
anirudh,male,3
anirudra,male,2
anis,male,2
anish,male,184
anisha,female,35
anisha,male,1
anishma,female,3
anit,male,4
anita,female,25
anita,male,2
anjal,male,5
anjalee,female,4
anjalee,male,1
anjali,female,27
anjali,male,1
anjan,male,42
anjana,female,21
anjana,male,1
anjani,female,3
anjani,male,5
anjay,male,6
anjaya,male,3
anjeela,female,3
anjeena,female,2
anjeena,male,1
anjeep,male,1
anjel,male,1
anjesh,male,7
anjil,male,4
anjila,female,13
anjila,male,1
anjit,male,5
anju,female,30
anju,male,1
anjula,female,1
anjuli,female,3
anjuli,male,1
ankeet,male,2
ankesh,male,1
ankit,male,81
ankita,female,14
ankita,male,1
anku,female,2
ankur,male,10
ankush,male,2
anmol,female,4
anmol,male,21
anna,male,1
annant,male,1
annanta,female,2
annie,female,5
annu,female,5
anny,female,1
anoj,male,13
anoop,male,1
anouska,female,2
anrood,male,2
ansan,male,2
anshab,male,2
anshav,male,2
anshika,female,3
anshu,female,5
anshu,male,3
anshul,male,2
anshumala,female,1
anshumalee,male,2
anshumali,male,1
anshuman,male,2
ansu,female,3
ansuya,female,1
answiya,female,1
antariksha,male,2
antima,female,1
antisangarsha,male,2
anu,female,38
anu,male,1
anubhab,male,2
anubhav,male,4
anubhuti,male,1
anudeep,male,2
anugya,female,2
anugya,male,1
anuj,male,55
anuja,female,7
anuja,male,1
anujan,male,1
anuka,female,1
anukram,male,3
anukraman,male,1
anukshya,female,2
anukul,male,5
anumeha,female,1
anumita,female,2
anumuni,male,1
anup,male,130
anupa,female,11
anupam,male,18
anupama,female,15
anupama,male,1
anupma,female,4
anupras,male,2
anupriya,female,3
anur,male,1
anura,female,4
anuraag,male,2
anuradha,female,5
anuradha,male,1
anurag,male,27
anurodh,male,5
anurudh,male,3
anurudra,male,2
anush,male,4
anusha,female,25
anusha,male,1
anusharan,male,2
anusheel,male,2
anushesh,male,2
anushikha,female,1
anushikha,male,1
anushil,male,2
anushiya,female,3
anushka,female,5
anushma,female,2
anushree,female,1
anushreta,female,3
anushriya,female,2
anushruti,female,1
anuska,female,6
anusuman,male,2
anusuya,female,3
anutha,male,1
anvesh,male,2
anwar,male,1
anwesh,male,3
anweshak,male,3
anzoo,female,1
apar,male,4
aparajita,female,4
aparna,female,1
apeal,male,2
apechhaya,female,1
apechhaya,male,1
apeckchya,female,1
apekchhya,female,1
apekhya,female,1
apekhya,male,1
apekshya,female,14
apeshhaya,female,2
apil,male,14
aplesh,male,2
apoorba,male,2
apoorva,male,2
appu,male,7
apsa,female,1
apsa,male,1
apsana,female,1
apsana,male,1
apsara,female,3
apshara,female,3
apurba,male,4
apurva,male,2
arabind,male,1
arabinda,male,1
aradhana,female,1
araju,female,3
araksha,female,1
arambha,male,2
aranjali,female,1
arati,female,10
arati,male,1
arbin,male,9
arbina,female,1
arbind,male,26
arbinda,male,9
arbindra,male,2
archana,female,22
archana,male,1
archita,female,1
archu,female,1
archu,male,1
ardeep,male,1
argen,male,2
arica,female,1
aries,male,2
arif,male,2
arihant,male,2
arika,female,2
arina,female,2
arishma,female,1
ariv,male,2
arjab,male,1
arjan,male,5
arjani,female,2
arjesh,male,2
arjina,female,1
arjit,male,2
arju,female,4
arjun,male,148
arkeet,male,1
arma,female,4
armaan,male,1
arman,male,2
armila,female,1
arna,male,1
arnab,male,2
arnav,male,3
arni,male,1
arnisha,female,1
arnold,male,3
arogya,male,2
aroj,male,2
aron,male,2
arpan,male,13
arpana,female,8
arpana,male,1
arpit,male,2
arshad,male,3
arshiya,female,2
arti,female,1
arun,male,111
aruna,female,17
aruna,male,1
arunav,male,1
arunima,female,1
arush,male,2
arusha,female,3
arvind,male,3
arwin,male,2
arwind,male,1
arya,female,1
arya,male,2
aryal,male,1
aryan,male,6
aryasupurna,female,4
arzoo,female,4
arzoo,male,2
asan,male,2
asaraf,male,1
asbin,male,11
asbina,female,1
aseem,male,6
asesh,male,1
aseshwar,male,3
asha,female,14
asha,male,1
ashakaji,male,1
ashana,female,2
ashay,male,1
ashbin,male,2
ashchal,male,2
asheem,male,1
asheesh,male,1
ashes,male,5
ashesh,male,19
asheshwor,male,1
ashfaq,male,2
ashib,male,4
ashik,male,7
ashika,female,2
ashim,male,57
ashin,male,6
ashirbad,male,2
ashis,male,12
ashish,male,245
ashisi,male,1
ashit,male,1
ashiya,female,2
ashkal,male,1
ashlesh,male,1
ashma,female,13
ashma,male,1
ashman,male,2
ashmeeta,female,1
ashmeeta,male,1
ashmi,female,1
ashmin,male,6
ashmina,female,1
ashmina,male,1
ashmit,male,4
ashmita,female,41
ashmita,male,1
ashna,female,3
ashok,male,150
ashray,male,2
ashrit,male,2
ashrita,female,2
ashru,female,4
ashu,female,2
ashu,male,4
ashuhang,male,2
ashuta,female,1
ashuta,male,1
ashutosh,male,29
ashutosha,male,2
ashvin,male,2
ashwin,male,19
ashwini,male,3
asikh,male,2
asim,male,15
asira,female,1
asish,male,5
askina,female,1
aslam,male,1
aslesha,female,2
asma,female,3
asman,male,1
asmin,female,3
asmin,male,3
asmir,male,2
asmit,male,16
asmita,female,83
asmita,male,1
asmod,male,1
asphota,female,1
asrar,male,2
assim,male,2
asta,male,2
astha,female,25
astha,male,1
astik,male,3
asuni,female,1
asutosh,male,2
aswin,male,8
atal,male,4
ataur,male,2
ateet,male,2
athma,male,1
atique,male,1
atish,male,2
atit,male,10
atithi,male,1
atlantic,male,2
atma,male,1
atmaram,male,1
atmesh,male,1
atul,male,21
atulya,male,1
audi,male,2
auras,male,1
ava,female,1
avaaj,male,2
avanish,male,2
avash,male,17
avashana,female,2
avay,male,2
avaya,male,7
avhinav,male,2
avhishek,male,2
avicalpa,male,3
avichandra,male,2
avidha,female,2
avijit,male,3
avikishor,male,2
avilash,male,1
avilasha,female,1
avilekh,male,2
avimanyu,male,1
avin,male,1
avinab,male,3
avinandan,male,1
avinash,male,27
avinav,male,4
avinaya,male,3
avineak,male,2
avinesh,male,1
avip,male,1
avipsa,female,2
aviral,male,2
avirush,male,2
avisek,male,2
avisekh,male,2
avishek,male,21
avishekh,male,3
avishesh,male,1
aviskar,male,2
aviwadan,male,2
aviyan,male,2
avon,male,2
avsar,male,1
awadesh,male,1
awadh,male,1
awadhesh,male,2
awadhkishor,male,4
awakash,male,2
awan,male,2
awanish,male,1
awash,male,2
awesh,male,2
awishesh,male,2
awiskar,male,1
awornit,male,1
ayam,male,3
ayan,male,1
ayash,male,2
ayasha,female,3
ayashree,female,3
ayean,male,1
ayesha,female,3
ayodhya,male,1
ayonij,male,1
ayoush,male,2
ayousma,female,1
ayub,male,4
ayush,male,64
ayusha,female,7
ayushi,female,4
ayushi,male,1
ayushma,female,8
ayushma,male,1
ayushman,male,2
azaad,male,2
azad,male,4
azaj,male,1
azaz,male,1
azeem,male,4
azzeta,female,1
b,male,1
baban,male,3
babi,female,1
babin,male,7
babina,female,1
babisha,female,1
babisha,male,1
babita,female,18
babita,male,1
bablu,male,1
babu,male,5
babul,male,2
baburam,male,12
bachan,male,1
bachaspati,male,2
bachu,male,1
badal,female,1
badal,male,10
badalbabu,male,2
badan,male,1
badhyata,female,1
badhyata,male,1
badri,male,8
bahadur,male,1
baibhav,male,5
baidehi,male,1
baidh,male,2
baidhnath,male,1
baidya,male,1
baidyanath,male,3
baijanath,male,2
baijnath,male,2
baiju,male,5
baikunth,male,2
baikuntha,male,5
baizu,male,2
bajara,male,1
bajarangi,male,2
bajra,male,3
bajracharya,female,1
bajracharya,male,1
bajrang,male,3
bajrangi,male,1
bakhat,male,2
bal,male,12
bala,female,3
bala,male,1
balami,male,1
balaraj,male,1
balaram,male,4
baldev,male,3
balendra,male,1
baleshwar,male,1
balgobind,male,3
bali,male,1
baliram,male,2
balkrishna,male,12
balkumar,male,2
balkumari,female,1
ballav,male,2
balman,male,1
balram,male,12
bam,male,1
bamdev,male,4
ban,male,1
bandana,female,12
bandana,male,1
bandanda,female,1
bandhu,male,1
banish,male,2
bankatesh,male,4
banmali,male,1
bansaj,male,1
banshee,male,1
banti,female,1
banti,male,1
bapin,male,1
baral,male,1
bardan,male,2
barkadin,male,1
barkha,female,3
barkha,male,1
barnit,male,2
barsa,female,1
barsha,female,40
barsha,male,1
barun,female,1
barun,male,8
baruna,female,1
basant,male,13
basanta,male,69
basanti,female,1
basdev,male,3
bashant,male,4
bashanta,male,5
bashu,male,3
bashudev,male,2
bashuki,male,4
basista,male,2
basistha,male,1
baski,male,2
basnet,female,1
basu,male,7
basudev,male,8
basudha,female,1
basukinath,male,2
basundhara,female,1
basundhara,male,1
basutel,male,1
batsal,male,2
batuk,male,1
baudh,male,2
bauku,male,1
bawan,male,1
bc,male,1
bebina,female,3
bebina,male,1
bechan,male,1
bed,male,10
bedan,male,3
bedananda,male,1
bedraj,male,1
bedram,male,2
beebika,female,1
beebika,male,1
beelinda,female,1
beenita,female,1
beepana,female,2
beependra,male,1
beeva,female,2
beezan,male,2
begam,male,3
bejil,male,2
bekta,male,1
bel,male,2
belal,male,4
belmata,female,2
belove,male,2
bemita,female,4
beneet,male,1
beni,male,2
benish,male,2
benison,male,3
beniya,female,2
benjana,female,1
benjon,male,2
benju,female,2
benju,male,1
benu,male,2
benuja,female,4
bet,male,1
bhaba,female,1
bhaba,male,1
bhabak,male,1
bhabesh,male,4
bhabin,male,5
bhabina,female,1
bhabish,male,3
bhabishya,male,2
bhabuk,male,2
bhabya,female,2
bhadra,female,3
bhag,male,3
bhagat,male,3
bhagawan,male,8
bhagawat,male,1
bhagawati,female,1
bhagirath,male,2
bhagu,male,1
bhagwan,male,3
bhagwat,male,1
bhagwati,female,1
bhagya,male,3
bhai,male,2
bhaichung,male,2
bhairab,male,2
bhairav,male,3
bhakta,female,1
bhakta,male,5
bhandari,male,1
bhanu,male,13
bhanubhakta,male,2
bharat,male,51
bharath,male,1
bharati,female,1
bharati,male,1
bhargab,male,2
bhargav,male,3
bhargaw,male,1
bharosha,female,1
bharoshi,male,3
bharti,female,2
bhasan,male,2
bhashkar,male,3
bhaskar,male,14
bhasker,male,2
bhat,male,1
bhatta,male,1
bhattarai,male,1
bhava,female,1
bhava,male,2
bhavana,female,1
bhavesh,male,1
bhaviendra,male,1
bhavindra,male,1
bhavisya,male,2
bhavya,female,2
bhawak,male,1
bhawan,male,3
bhawana,female,15
bhawani,female,2
bhawani,male,5
bhawesh,male,3
bhawna,female,2
bheem,male,1
bhesh,male,6
bhesha,male,1
bheshraj,male,1
bhibisan,male,1
bhijan,male,4
bhila,male,1
bhim,female,1
bhim,male,21
bhimarjun,male,2
bhimesh,male,1
bhimkala,female,1
bhimsen,male,7
bhishma,male,9
bhisma,male,4
bhochhibhoya,male,1
bhogendra,male,3
bhoj,male,11
bhojendra,male,2
bhola,male,12
bhooma,female,1
bhoomika,female,1
bhoya,female,1
bhrigu,male,1
bhuban,male,9
bhubanesh,male,1
bhubaneshwar,male,1
bhubaneswari,female,1
bhugol,male,3
bhujan,male,1
bhulok,male,2
bhumi,male,4
bhumika,female,8
bhumika,male,1
bhuneshwar,male,3
bhup,male,2
bhupa,male,2
bhupadhoj,male,1
bhupal,male,3
bhupendra,male,31
bhupesh,male,7
bhupin,male,2
bhupnarayan,male,2
bhupraj,male,3
bhusal,male,1
bhusan,male,7
bhushan,male,9
bhuvan,male,5
bhuvaneshwar,male,1
bhuvneswer,male,1
bhuwan,male,57
bhuwanesh,male,1
bhuwaneshuwari,female,1
bhuwani,male,2
bhuwesh,male,3
bibas,male,7
bibash,male,15
bibat,male,3
bibechan,male,2
bibechana,female,1
bibechana,male,1
bibek,male,427
bibeka,male,1
bibekanand,male,3
bibekananda,male,1
bibekman,male,2
bibesh,male,8
bibet,male,1
bibha,female,1
bibhab,male,1
bibham,male,1
bibhas,female,1
bibhas,male,2
bibhash,male,2
bibhav,male,2
bibhed,male,1
bibhesh,male,1
bibhor,male,5
bibhu,female,1
bibhu,male,3
bibhusa,female,3
bibhusan,male,3
bibhushan,male,3
bibhuti,female,2
bibhuti,male,1
bibhutinand,male,2
bibid,male,1
bibidh,male,2
bibika,female,2
bibin,male,2
bibisha,female,3
bibisha,male,1
bibush,male,1
bibusha,female,1
bibushan,male,1
bibuti,male,1
bichar,male,2
bickal,male,2
bickey,male,3
bickram,male,2
bicky,male,3
bideha,male,1
biden,male,2
bidhan,male,27
bidhata,female,3
bidhek,male,2
bidhya,female,5
bidhya,male,1
bidhyalal,male,2
bidhyananda,male,2
bidish,male,2
bidisha,female,1
bidit,male,3
bidita,female,1
bidur,male,37
bidursan,male,3
bidusi,female,2
bidya,female,5
bidya,male,2
bidyakant,male,2
bidyanand,male,5
biga,male,2
bigat,male,2
bigendra,male,1
biggyan,male,2
bighnesh,male,1
bigya,female,4
bigya,male,2
bigyan,male,40
bihari,male,2
bihny,female,1
bihny,male,1
bihushan,male,1
biibek,male,2
biijay,male,2
bijan,male,2
bijay,female,1
bijay,male,165
bijaya,female,5
bijaya,male,64
bijayan,male,3
bijayanand,male,3
bijayash,male,2
bijayaswori,female,1
bijayata,female,2
bijen,male,3
bijendra,male,3
bijesh,male,11
bijeta,female,5
bijita,female,1
bijju,male,2
biju,female,1
biju,male,3
bijwol,male,2
bikal,male,23
bikalpa,female,1
bikalpa,male,16
bikas,male,10
bikash,male,227
bikee,male,1
biken,male,3
bikendra,male,3
bikesh,male,54
bikey,male,2
bikhyat,male,2
biki,male,5
bikings,male,2
bikkal,male,2
bikki,male,4
bikku,male,2
bikky,male,2
bikram,male,125
bikrant,male,7
bikranta,male,3
bikru,male,1
biku,male,2
bilan,male,1
bilap,male,1
bilash,male,2
bilesh,male,2
bilove,male,2
biltu,male,2
bima,female,1
bimal,male,78
bimala,female,13
bimala,male,1
bimalesh,male,1
biman,male,2
bimanchal,male,2
bimarsha,male,6
bimash,male,4
bimbisar,male,2
bimesh,male,1
bimlendra,male,2
bimlendu,male,1
bimlesh,male,2
bimochan,male,9
bimoo,female,1
bina,female,13
bina,male,1
binabh,male,2
binam,female,3
binam,male,3
binamra,male,2
binarma,male,1
binash,female,1
binay,male,40
binaya,female,1
binaya,male,46
binayak,male,4
binda,female,1
bindesh,male,1
bindeshwar,male,3
bindhya,female,2
bindira,female,4
bindisha,female,1
bindiya,female,1
bindra,female,2
bindu,female,14
bindu,male,1
bindyashwori,female,1
bindyashwori,male,1
binee,female,1
bineela,female,3
bineet,male,1
bineeta,female,1
binendra,male,1
binesh,male,8
bineta,female,1
bini,female,2
binij,male,1
binil,male,1
binish,male,4
binisha,female,2
binisha,male,1
binit,male,5
binita,female,36
binita,male,1
binni,female,1
binny,female,1
binod,male,170
binti,male,1
bintosh,male,2
binu,female,9
binu,male,3
binuka,female,1
binup,male,3
bipal,male,4
bipan,male,5
bipana,female,4
bipana,male,1
bipasana,female,2
bipasyana,female,2
bipeen,male,2
bipendra,male,2
bipesh,male,3
bipik,male,3
bipika,female,2
bipika,male,1
bipin,male,111
bipina,female,1
bipina,male,1
bipish,male,2
bipisha,female,2
biplab,male,16
biplabi,female,1
biplap,male,2
biplav,male,18
biplaw,male,2
biplesh,male,1
biplob,male,2
biplop,male,2
biplov,male,8
biplove,male,4
bipsana,female,4
bipu,female,1
bipul,male,14
bipula,female,1
bipush,male,2
bir,male,10
biraj,male,40
birasa,male,3
birat,male,27
biratjan,male,2
birayas,male,1
birbal,male,4
biren,male,4
birendra,male,47
biresh,male,2
birjendra,male,1
birkha,male,4
birman,male,1
biroch,male,2
birochan,male,4
birodh,male,1
biroj,male,2
biru,male,2
biruj,male,1
birwal,male,1
bisam,male,1
bisan,male,2
bisesh,male,2
bisfot,male,1
bishab,male,2
bishal,male,275
bishambar,male,1
bishan,male,5
bishant,male,4
bisharad,male,2
bishau,male,1
bishav,male,2
bishawamber,male,1
bishaz,male,1
bishes,male,2
bishesh,male,18
bisheshwar,male,3
bisheshwer,male,1
bishesswor,male,1
bisheswor,male,1
bishiwanath,male,1
bishnu,female,4
bishnu,male,102
bishnubi,female,1
bishnuhari,male,1
bishnuraj,male,3
bisho,male,2
bishodeep,male,2
bishop,male,3
bishow,male,17
bishowram,male,2
bishram,male,5
bishrant,male,1
bishranta,male,2
bishruti,female,2
bishu,male,3
bishuka,female,3
bishuzal,male,3
bishwa,male,21
bishwabandhu,male,4
bishwadeep,male,2
bishwajeet,male,5
bishwajit,male,4
bishwakant,male,2
bishwalal,male,2
bishwambhar,male,1
bishwamitra,male,2
bishwanand,male,1
bishwanath,male,2
bishwaranjan,male,2
bishwas,male,34
bishwash,male,9
bishwesh,male,1
bishweshwar,male,1
bishwo,male,8
bishwodip,male,1
bishwojeet,male,2
bishworaj,male,2
bisikha,female,2
bisista,female,2
bismita,female,1
bismita,male,1
bista,male,1
biswa,male,2
biswajit,male,2
biswamber,male,1
biswananda,male,2
biswas,male,6
biswash,male,12
biswo,male,1
biswok,male,1
biswombher,male,1
bittu,male,3
bity,female,1
biva,female,2
bivakar,male,2
bivash,male,4
bivatsu,male,2
bivek,male,51
bivesh,male,1
bivo,male,2
bivov,male,2
bivusha,female,1
biwas,male,5
biwash,male,2
biwek,male,3
biyan,male,2
bk,male,1
blessing,male,2
bobby,male,2
bobin,male,2
bodh,male,1
bodha,male,1
bodhendra,male,1
bodhita,female,2
bohara,male,1
bolbam,male,5
bom,male,5
bonash,male,1
bonish,male,2
bonot,male,1
bp,male,2
brabim,male,1
brabina,female,1
brabina,male,1
brahamdev,male,2
brahma,male,1
brahmanand,male,3
braj,male,3
brajendra,male,1
brajesh,male,7
briendra,male,1
brihat,male,2
brij,male,7
brijesh,male,3
brijkishor,male,5
briju,male,1
brikhesh,male,3
brikodar,male,2
brinda,female,2
brinju,female,1
brishan,male,3
brishav,male,2
brishti,female,2
bristi,female,4
britam,male,3
britant,male,2
britty,female,2
bruce,male,1
buddha,male,8
buddhi,female,1
buddhi,male,9
buddhiman,male,2
buddhinath,male,2
buddhiraj,male,2
buddi,male,1
budh,male,2
budhathoki,male,1
budhdha,male,2
budhi,male,3
budhiram,male,2
buki,female,1
bulbul,female,4
bullit,male,2
bunilal,male,2
bunu,female,2
bushra,female,1
byanjankar,male,1
byapak,male,1
byas,male,3
caesar,male,2
calvin,male,1
carolin,female,1
caudhary,male,1
cecial,male,1
cesar,male,1
chabilal,male,2
chahana,female,2
chait,male,1
chaitanya,male,3
chaitya,male,1
chakka,male,3
chakra,male,9
chakrabarti,male,1
chakrajeet,male,2
chakrapani,male,1
chan,male,3
chanchal,male,1
chanchala,female,1
chand,female,1
chand,male,1
chanda,female,2
chanda,male,2
chandan,male,32
chandananda,male,1
chandani,female,20
chandani,male,1
chandara,male,1
chandesh,male,2
chandeshwar,male,1
chandeshwor,male,2
chandha,female,1
chandik,male,2
chandika,female,5
chandika,male,2
chandnandan,male,1
chandni,female,1
chandra,female,4
chandra,male,65
chandrabhawan,male,2
